rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,tooquick
7913.900000035763,{worker_id:hyr},id_enter,7916,object_10a.png; object_13c.png; object_13b.png; object_10c.png; object_01a.png; object_08a.png; object_02c.png; object_07b.png; object_05b.png; object_04a.png; object_12a.png; object_03c.png; object_09c.png; object_08c.png; object_02a.png,object_03b.png; object_11a.png; object_12c.png; object_04b.png; object_06c.png; object_15c.png; object_03a.png; object_09b.png; object_05a.png; object_04c.png; object_02b.png; object_14a.png; object_08b.png; object_06a.png; object_14b.png,object_15b.png; object_11c.png; object_01b.png; object_14c.png; object_12b.png; object_15a.png; object_05c.png; object_13a.png; object_07a.png; object_11b.png; object_07c.png; object_06b.png; object_09a.png; object_01c.png; object_10b.png,,,,,,,,,,,,,,,,
28967.80000001192,,make_fullscreen,36889,,,,fullscreen,0,,,,,,,,,,,,,,
4900.300000011921,,instruct_1,41793,,,,instruct,0,Next,,,,,,,,,,,,,
17971.19999998808,,instruct_2,59768,,,,instruct,0,Previous,,,,,,,,,,,,,
4185.599999964237,,instruct_1,63956,,,,instruct,0,Next,,,,,,,,,,,,,
12099.899999976158,,instruct_2,76058,,,,instruct,1,Next,,,,,,,,,,,,,
10691.100000023842,,instruct_3,86751,,,,instruct,1,Next,,,,,,,,,,,,,
41663.30000001192,,instruct_4,128417,,,,instruct,1,Next,,,,,,,,,,,,,
10299.700000047684,,instruct_5,138718,,,,instruct,1,Next,,,,,,,,,,,,,
4565.300000011921,,instruct_6,143286,,,,instruct,1,Next,,,,,,,,,,,,,
40584.10000002384,,instruct_7,183872,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,184459,,,,black_plus_sign,,,null,,,,,,,,,,,,
672.5,,prac_atten_color,185281,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,187284,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,187870,,,,black_plus_sign,,,null,,,,,,,,,,,,
519.1000000238419,,prac_atten_color,188700,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,190703,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,191280,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,191813,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
190.70000004768372,,prac_atten_color_black,193817,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,194691,,,,black_plus_sign,,,null,,,,,,,,,,,,
