rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy
35780.699999928474,{worker_id:67933ba0111c16dc7ed9fc0a},id_enter,35787,object_10a.png; object_01a.png; object_13a.png; object_05a.png; object_11a.png; object_02c.png; object_15c.png; object_07b.png; object_13c.png; object_04a.png; object_01b.png; object_08a.png; object_09a.png; object_09c.png; object_11c.png,object_02a.png; object_05b.png; object_09b.png; object_13b.png; object_15a.png; object_14b.png; object_06b.png; object_06a.png; object_07c.png; object_02b.png; object_08c.png; object_07a.png; object_05c.png; object_12c.png; object_03a.png,object_04b.png; object_12b.png; object_11b.png; object_10b.png; object_04c.png; object_14c.png; object_03c.png; object_12a.png; object_08b.png; object_03b.png; object_14a.png; object_01c.png; object_15b.png; object_06c.png; object_10c.png,interleaved,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,5/8/2025, 1:14:52 PM,2025-05-08 20:14:52.078,,,,,,,,,,,,,,,
48854.700000047684,,make_fullscreen,84706,,,,,,,,fullscreen,0,,,,,,,,,,,,,
10400.100000023842,,instruct_1,95115,,,,,,,,instruct,0,Next,,,,,,,,,,,,
32572.700000047684,,instruct_2,127693,,,,,,,,instruct,1,Next,,,,,,,,,,,,
21427.299999952316,,instruct_3,149122,,,,,,,,instruct,1,Next,,,,,,,,,,,,
60483.10000002384,,instruct_4,209608,,,,,,,,instruct,1,Next,,,,,,,,,,,,
27572.100000023842,,instruct_5,237186,,,,,,,,instruct,1,Next,,,,,,,,,,,,
11222.200000047684,,instruct_6,248410,,,,,,,,instruct,1,Next,,,,,,,,,,,,
66103.29999995232,,instruct_7,314515,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,315122,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,315929,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
null,,prac_atten_color_black,317933,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
20380.600000023842,,attentioncheck_help,338319,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,338919,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,339633,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
652.3999999761581,,prac_atten_color_black,341637,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
null,,prac_atten_color_black,342344,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
639.8000000715256,,prac_atten_color,343396,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,345399,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,345757,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,346451,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
