rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy
29554.700000047684,{worker_id:5e27107888daaf016b0daada},id_enter,29558,object_09c.png; object_11c.png; object_07b.png; object_12c.png; object_03b.png; object_02a.png; object_05b.png; object_01a.png; object_02b.png; object_07a.png; object_04a.png; object_12a.png; object_07c.png; object_06a.png; object_15a.png,object_03c.png; object_04b.png; object_08a.png; object_01b.png; object_06b.png; object_04c.png; object_10c.png; object_10b.png; object_05c.png; object_09b.png; object_10a.png; object_03a.png; object_09a.png; object_05a.png; object_15b.png,object_13b.png; object_06c.png; object_01c.png; object_13c.png; object_12b.png; object_11a.png; object_02c.png; object_15c.png; object_08c.png; object_08b.png; object_14a.png; object_14c.png; object_11b.png; object_13a.png; object_14b.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/11/2025, 3:23:51 PM,2025-05-11 22:23:51.391,,,,,,,,,,,,,,,,
25835.700000047684,,make_fullscreen,55413,,,,,,,,fullscreen,0,,,,,,,,,,,,,,
7347.600000143051,,instruct_1,62764,,,,,,,,instruct,0,Next,,,,,,,,,,,,,
12813.400000095367,,instruct_2,75580,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
7831.100000143051,,instruct_3,83413,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
25559,,instruct_4,108973,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
15236.799999952316,,instruct_5,124213,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
4430.199999809265,,instruct_6,128644,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
35454.800000190735,,instruct_7,164100,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,164941,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,165505,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,167507,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
6658.199999809265,,attentioncheck_help,174166,,,,,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_atten_color_black,175006,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
581.7999999523163,,prac_atten_color,175733,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,177735,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
10260.300000190735,,attentioncheck_help,187997,,,,,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_atten_color_black,188674,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
561.6999998092651,,prac_atten_color,189238,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,191240,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
7203.5,,attentioncheck_help,198445,,,,,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_atten_color_black,199284,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
719.7999999523163,,prac_atten_color,200217,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,202219,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,202689,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
562.3999998569489,,prac_atten_color,203775,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,205777,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,206101,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
813.9000000953674,,prac_atten_color,207102,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,209104,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
