rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,completion_code
6913.899999976158,{worker_id:65959bfed43a65c4d24b7445},id_enter,6915,object_03a.png; object_12c.png; object_08a.png; object_06a.png; object_04a.png; object_07c.png; object_15c.png; object_11c.png; object_04b.png; object_09b.png; object_14a.png; object_13c.png; object_07a.png; object_11a.png; object_06b.png,object_02a.png; object_12a.png; object_03b.png; object_14b.png; object_10a.png; object_06c.png; object_12b.png; object_05a.png; object_09c.png; object_07b.png; object_13b.png; object_01b.png; object_15a.png; object_08c.png; object_09a.png,object_03c.png; object_05c.png; object_10c.png; object_01c.png; object_15b.png; object_04c.png; object_14c.png; object_02c.png; object_13a.png; object_02b.png; object_10b.png; object_05b.png; object_01a.png; object_11b.png; object_08b.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0,5/11/2025, 4:23:17 PM,2025-05-11 23:23:17.992,,,,,,,,,,,,,,,,
15012.100000023842,,make_fullscreen,21937,,,,,,,,fullscreen,0,,,,,,,,,,,,,,
5630.699999988079,,instruct_1,27569,,,,,,,,instruct,0,Next,,,,,,,,,,,,,
13889.900000035763,,instruct_2,41459,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
9363.099999964237,,instruct_3,50824,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
20927.700000047684,,instruct_4,71752,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
11033.199999988079,,instruct_5,82787,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
6302.800000011921,,instruct_6,89091,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
28798,,instruct_7,117890,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,118465,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
820,,prac_atten_color,119293,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,121294,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,121870,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
615,,prac_atten_color,122846,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,124848,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,125276,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
736.6999999880791,,prac_atten_color,126173,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,128175,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
14670.699999988079,,attentioncheck_help,142847,,,,,,,,instruct,,,32,,,,,,,,,,,,
