rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
null,,prac_rt_plussign_withcolor,167053,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
825.3999999910593,,prac_rt_thecrossant_black,168491,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,168593,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),172096,,,,,,,,black_plus_sign,,,null,object_04c.png,object_12b.png,,,,,,,,,
null,,black_cross(without_color)1,172567,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,173069,,,,,,,,blue,,,null,object_04c.png,object_12b.png,,,,,,,,,
1066.7000000029802,,prac_rt_thecrossant_black,174176,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,174278,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),177780,,,,,,,,black_plus_sign,,,null,object_12a.png,object_15b.png,,,,,,,,,
null,,black_cross(without_color)1,178251,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
507.09999999403954,,prac_rt_plussign_withcolor,178760,,,,,,,,blue,,,49,object_12a.png,object_15b.png,,,,,,,,,
null,,prac_rt_thecrossant_black,179962,,,,,,,,black_plus_sign,,,null,,,1,1,,,,,,,
null,,prac_color_black,180064,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),183567,,,,,,,,black_plus_sign,,,null,object_01b.png,object_08b.png,,,,,,,,,
null,,black_cross(without_color)1,184038,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,184540,,,,,,,,blue,,,null,object_01b.png,object_08b.png,,,,,,,,,
928.3999999910593,,prac_rt_thecrossant_black,185462,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,185565,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
2954,,instruct_dir_01,188521,,,,,,,,instruct,0,Next,,,,,,,,,,,,
3148.2999999970198,,instruct_dir_2,191671,,,,,,,,instruct,1,Next,,,,,,,,,,,,
2941.5,,instruct_dir_3,194613,,,,,,,,instruct,1,Next,,,,,,,,,,,,
8541.90000000596,,instruct_dir_4,203157,,,,,,,,instruct,1,Start,,,,,,,,,,,,
null,,thebreak,203258,,,,,,,,<p></p>,,,null,,,,,,,,,,,
1083.5,,intro_0,204343,,,,,,,,instruct,,,32,,,,,,,,,,,
2975.7999999970198,,prac_directmemory_phase,207320,,,,,,,,practice/object_01b.png,,,49,,,0,,practice/object_02a.png,practice/object_01a.png,practice/object_03a.png,practice/object_01a.png,0,0,
1815.2999999970198,,prac_directmemory_phase,209139,,,,,,,,practice/object_03b.png,,,49,,,1,,practice/object_03a.png,practice/object_04a.png,practice/object_01a.png,practice/object_03a.png,1,0.5,
3358.5,,prac_directmemory_phase,212500,,,,,,,,practice/object_02b.png,,,50,,,0,,practice/object_02a.png,practice/object_01a.png,practice/object_03a.png,practice/object_02a.png,0,0.3333333333333333,
2652.8999999910593,,prac_directmemory_phase,215155,,,,,,,,practice/object_04b.png,,,49,,,1,,practice/object_04a.png,practice/object_01a.png,practice/object_02a.png,practice/object_04a.png,1,0.5,
6394.0999999940395,,practice_feedback_force_restart,221551,,,,,,,,practice_feedback,0,,,,,,,,,,,,,1
9627.89999999106,,last_instruct,231180,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_learn_phase(without_color),234681,,,,,,,,black_plus_sign,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_black_cross(without_color),235470,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,235972,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_thecrossant_black,237200,,,,,,,,black_plus_sign,,,null,,,,1,,,,,,,
null,,prac_color_black,237302,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),240805,,,,,,,,black_plus_sign,,,null,object_04c.png,object_12b.png,,,,,,,,,
null,,black_cross(without_color)1,241275,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,241777,,,,,,,,blue,,,null,object_04c.png,object_12b.png,,,,,,,,,
907.7000000029802,,prac_rt_thecrossant_black,242895,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,242997,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),246500,,,,,,,,black_plus_sign,,,null,object_12a.png,object_15b.png,,,,,,,,,
null,,black_cross(without_color)1,246971,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,247473,,,,,,,,blue,,,null,object_12a.png,object_15b.png,,,,,,,,,
1151.1000000089407,,prac_rt_thecrossant_black,248404,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,248507,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),252010,,,,,,,,black_plus_sign,,,null,object_01b.png,object_08b.png,,,,,,,,,
null,,black_cross(without_color)1,252481,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
463.19999998807907,,prac_rt_plussign_withcolor,252982,,,,,,,,blue,,,49,object_01b.png,object_08b.png,,,,,,,,,
null,,prac_rt_thecrossant_black,254552,,,,,,,,black_plus_sign,,,null,,,1,1,,,,,,,
null,,prac_color_black,254655,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
1910.7000000029802,,instruct_dir_01,256567,,,,,,,,instruct,0,Next,,,,,,,,,,,,
1116.2999999970198,,instruct_dir_2,257685,,,,,,,,instruct,1,Next,,,,,,,,,,,,
1451.7999999970198,,instruct_dir_3,259138,,,,,,,,instruct,1,Next,,,,,,,,,,,,
2750,,instruct_dir_4,261889,,,,,,,,instruct,1,Start,,,,,,,,,,,,
null,,thebreak,261991,,,,,,,,<p></p>,,,null,,,,,,,,,,,
1071.8999999910593,,intro_0,263063,,,,,,,,instruct,,,32,,,,,,,,,,,
3476.7999999970198,,prac_directmemory_phase,266542,,,,,,,,practice/object_01b.png,,,50,,,1,,practice/object_02a.png,practice/object_01a.png,practice/object_03a.png,practice/object_01a.png,1,1,
1266.5999999940395,,prac_directmemory_phase,267810,,,,,,,,practice/object_03b.png,,,49,,,1,,practice/object_03a.png,practice/object_04a.png,practice/object_01a.png,practice/object_03a.png,1,1,
1310.7000000029802,,prac_directmemory_phase,269123,,,,,,,,practice/object_02b.png,,,51,,,0,,practice/object_02a.png,practice/object_01a.png,practice/object_03a.png,practice/object_02a.png,0,0.6666666666666666,
1837.2999999970198,,prac_directmemory_phase,270962,,,,,,,,practice/object_04b.png,,,51,,,0,,practice/object_04a.png,practice/object_01a.png,practice/object_02a.png,practice/object_04a.png,0,0.5,
1561.7999999970198,,practice_feedback_force_restart,272526,,,,,,,,practice_feedback,0,,,,,,,,,,,,,2
875.3000000119209,,last_instruct,273402,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_learn_phase(without_color),276904,,,,,,,,black_plus_sign,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_black_cross(without_color),277548,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
