rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy
null,,learn_phase(without_color)1,401653,,,,,,,,black_plus_sign,,,null,object_13a.png,object_07b.png,,,,,,,,,
null,,black_cross(without_color)1,402277,,,,,,,,blue,,,null,object_13a.png,object_07b.png,,,,,,,,,
null,,rt_plussign_withcolor1,402781,,,,,,,,blue,,,null,object_13a.png,object_07b.png,,,,,,,,,
1358.199999999255,,rt_thecrossant_black1,404169,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,
null,,color_black1,404273,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)1,407780,,,,,,,,black_plus_sign,,,null,object_02c.png,object_01b.png,,,,,,,,,
null,,black_cross(without_color)1,408553,,,,,,,,blue,,,null,object_02c.png,object_01b.png,,,,,,,,,
null,,rt_plussign_withcolor1,409062,,,,,,,,blue,,,null,object_02c.png,object_01b.png,,,,,,,,,
796.3000000007451,,rt_thecrossant_black1,410306,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,
null,,color_black1,410409,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)1,413916,,,,,,,,black_plus_sign,,,null,object_06b.png,object_01a.png,,,,,,,,,
null,,black_cross(without_color)1,414436,,,,,,,,green,,,null,object_06b.png,object_01a.png,,,,,,,,,
null,,rt_plussign_withcolor1,414938,,,,,,,,green,,,null,object_06b.png,object_01a.png,,,,,,,,,
1254.5,,rt_thecrossant_black1,416429,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,
null,,color_black1,416535,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)1,420042,,,,,,,,black_plus_sign,,,null,object_06c.png,object_14a.png,,,,,,,,,
null,,black_cross(without_color)1,421002,,,,,,,,green,,,null,object_06c.png,object_14a.png,,,,,,,,,
null,,rt_plussign_withcolor1,421506,,,,,,,,green,,,null,object_06c.png,object_14a.png,,,,,,,,,
1081.300000000745,,rt_thecrossant_black1,422562,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,
null,,color_black1,422665,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,thebreak,422772,,,,,,,,<p></p>,,,null,,,,,,,,,,,
2150,,intro_0,424924,,,,,,,,instruct,,,32,,,,,,,,,,,
4488.199999999255,,directmemory_phase1,429413,,,,,,,,object_01a.png,,,50,,,1,,object_05b.png,object_06b.png,object_02c.png,object_06b.png,,1,1
4462.900000002235,,directmemory_phase1,433878,,,,,,,,object_01b.png,,,51,,,0,,object_03c.png,object_02c.png,object_08c.png,object_02c.png,,0.5,0
20,,directmemory_phase1,433901,,,,,,,,object_15a.png,,,49,,,1,,object_11a.png,object_02c.png,object_08c.png,object_11a.png,,0.6666666666666666,1
5215.5,,directmemory_phase1,439118,,,,,,,,object_14a.png,,,51,,,0,,object_06c.png,object_05b.png,object_06b.png,object_06c.png,,0.5,0
5652.39999999851,,directmemory_phase1,444773,,,,,,,,object_09c.png,,,50,,,0,,object_15b.png,object_01c.png,object_13b.png,object_13b.png,,0.4,0
9376.39999999851,,directmemory_phase1,454153,,,,,,,,object_12c.png,,,49,,,0,,object_14c.png,object_02c.png,object_03c.png,object_03c.png,,0.3333333333333333,0
6981.5,,directmemory_phase1,461137,,,,,,,,object_05a.png,,,50,,,1,,object_08c.png,object_01c.png,object_05b.png,object_01c.png,,0.42857142857142855,1
5351.5,,directmemory_phase1,466491,,,,,,,,object_04b.png,,,51,,,1,,object_15b.png,object_11a.png,object_10c.png,object_10c.png,,0.5,1
5290.900000002235,,directmemory_phase1,471784,,,,,,,,object_05c.png,,,49,,,0,,object_11a.png,object_02c.png,object_05b.png,object_05b.png,,0.4444444444444444,0
6034.199999999255,,directmemory_phase1,477821,,,,,,,,object_10a.png,,,49,,,0,,object_13a.png,object_15b.png,object_14c.png,object_14c.png,,0.4,0
2909.10000000149,,directmemory_phase1,480732,,,,,,,,object_07b.png,,,49,,,1,,object_13a.png,object_02a.png,object_01c.png,object_13a.png,,0.45454545454545453,1
4670,,directmemory_phase1,485405,,,,,,,,object_11c.png,,,50,,,1,,object_06b.png,object_08c.png,object_03c.png,object_08c.png,,0.5,1
4364.20000000298,,directmemory_phase1,489771,,,,,,,,object_13c.png,,,51,,,1,,object_01c.png,object_03c.png,object_09b.png,object_09b.png,,0.5384615384615384,1
6361.099999997765,,directmemory_phase1,496134,,,,,,,,object_15c.png,,,51,,,1,,object_02c.png,object_01c.png,object_15b.png,object_15b.png,,0.5714285714285714,1
6096.900000002235,,directmemory_phase1,502234,,,,,,,,object_07a.png,,,51,,,0,,object_08c.png,object_02a.png,object_14c.png,object_02a.png,,0.5333333333333333,0
null,,thebreak,502336,,,,,,,,<p></p>,,,null,,,,,,,,,,,
2500.699999999255,,intro_0,504838,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,learn_phase(without_color)2,508340,,,,,,,,black_plus_sign,,,null,object_11a.png,object_15a.png,,,,,,,,,
null,,black_cross(without_color)2,508844,,,,,,,,green,,,null,object_11a.png,object_15a.png,,,,,,,,,
null,,rt_plussign_withcolor2,509346,,,,,,,,green,,,null,object_11a.png,object_15a.png,,,,,,,,,
null,,rt_thecrossant_black2,510855,,,,,,,,black_plus_sign,,,null,,,,,,,,,,NaN,
null,,color_black2,510957,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,514471,,,,,,,,black_plus_sign,,,null,object_09b.png,object_13c.png,,,,,,,,,
null,,black_cross(without_color)2,515295,,,,,,,,green,,,null,object_09b.png,object_13c.png,,,,,,,,,
null,,rt_plussign_withcolor2,515800,,,,,,,,green,,,null,object_09b.png,object_13c.png,,,,,,,,,
null,,rt_thecrossant_black2,516988,,,,,,,,black_plus_sign,,,null,,,,,,,,,,NaN,
null,,warning_page,521997,,,,,,,,warning,,,null,,,,,,,,,,,
null,,color_black2,522099,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,525608,,,,,,,,black_plus_sign,,,null,object_13a.png,object_07b.png,,,,,,,,,
null,,black_cross(without_color)2,526306,,,,,,,,blue,,,null,object_13a.png,object_07b.png,,,,,,,,,
null,,rt_plussign_withcolor2,526810,,,,,,,,blue,,,null,object_13a.png,object_07b.png,,,,,,,,,
1216,,rt_thecrossant_black2,528125,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,
null,,color_black2,528230,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,531735,,,,,,,,black_plus_sign,,,null,object_10c.png,object_04b.png,,,,,,,,,
null,,black_cross(without_color)2,532794,,,,,,,,green,,,null,object_10c.png,object_04b.png,,,,,,,,,
null,,rt_plussign_withcolor2,533301,,,,,,,,green,,,null,object_10c.png,object_04b.png,,,,,,,,,
1517.2000000029802,,rt_thecrossant_black2,534260,,,,,,,,black_plus_sign,,,49,,,0,,,,,,,0.5,
null,,color_black2,534366,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,537870,,,,,,,,black_plus_sign,,,null,object_08c.png,object_11c.png,,,,,,,,,
null,,black_cross(without_color)2,538301,,,,,,,,blue,,,null,object_08c.png,object_11c.png,,,,,,,,,
null,,rt_plussign_withcolor2,538806,,,,,,,,blue,,,null,object_08c.png,object_11c.png,,,,,,,,,
1391.300000000745,,rt_thecrossant_black2,540386,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,0.6666666666666666,
null,,color_black2,540495,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,543998,,,,,,,,black_plus_sign,,,null,object_02c.png,object_01b.png,,,,,,,,,
null,,black_cross(without_color)2,544964,,,,,,,,green,,,null,object_02c.png,object_01b.png,,,,,,,,,
null,,rt_plussign_withcolor2,545469,,,,,,,,green,,,null,object_02c.png,object_01b.png,,,,,,,,,
974.3999999985099,,rt_thecrossant_black2,546511,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.75,
null,,color_black2,546622,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,550125,,,,,,,,black_plus_sign,,,null,object_02a.png,object_07a.png,,,,,,,,,
null,,black_cross(without_color)2,550623,,,,,,,,green,,,null,object_02a.png,object_07a.png,,,,,,,,,
null,,rt_plussign_withcolor2,551129,,,,,,,,green,,,null,object_02a.png,object_07a.png,,,,,,,,,
1605.4000000022352,,rt_thecrossant_black2,552642,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.8,
null,,color_black2,552746,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,556249,,,,,,,,black_plus_sign,,,null,object_15b.png,object_15c.png,,,,,,,,,
null,,black_cross(without_color)2,556889,,,,,,,,green,,,null,object_15b.png,object_15c.png,,,,,,,,,
null,,rt_plussign_withcolor2,557391,,,,,,,,green,,,null,object_15b.png,object_15c.png,,,,,,,,,
915.9000000022352,,rt_thecrossant_black2,558763,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.8333333333333334,
null,,color_black2,558866,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,562369,,,,,,,,black_plus_sign,,,null,object_14c.png,object_10a.png,,,,,,,,,
null,,black_cross(without_color)2,562936,,,,,,,,green,,,null,object_14c.png,object_10a.png,,,,,,,,,
null,,rt_plussign_withcolor2,563441,,,,,,,,green,,,null,object_14c.png,object_10a.png,,,,,,,,,
1192,,rt_thecrossant_black2,564884,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.8571428571428571,
null,,color_black2,564987,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,568495,,,,,,,,black_plus_sign,,,null,object_13b.png,object_09c.png,,,,,,,,,
null,,black_cross(without_color)2,569474,,,,,,,,green,,,null,object_13b.png,object_09c.png,,,,,,,,,
null,,rt_plussign_withcolor2,569986,,,,,,,,green,,,null,object_13b.png,object_09c.png,,,,,,,,,
1402.5,,rt_thecrossant_black2,571013,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.875,
null,,color_black2,571117,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,574620,,,,,,,,black_plus_sign,,,null,object_01c.png,object_05a.png,,,,,,,,,
null,,black_cross(without_color)2,575082,,,,,,,,blue,,,null,object_01c.png,object_05a.png,,,,,,,,,
null,,rt_plussign_withcolor2,575589,,,,,,,,blue,,,null,object_01c.png,object_05a.png,,,,,,,,,
1343,,rt_thecrossant_black2,577136,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,0.8888888888888888,
null,,color_black2,577240,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,580743,,,,,,,,black_plus_sign,,,null,object_06b.png,object_01a.png,,,,,,,,,
null,,black_cross(without_color)2,581485,,,,,,,,green,,,null,object_06b.png,object_01a.png,,,,,,,,,
null,,rt_plussign_withcolor2,581988,,,,,,,,green,,,null,object_06b.png,object_01a.png,,,,,,,,,
812.6999999992549,,rt_thecrossant_black2,583254,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.9,
null,,color_black2,583356,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,586865,,,,,,,,black_plus_sign,,,null,object_05b.png,object_05c.png,,,,,,,,,
null,,black_cross(without_color)2,587373,,,,,,,,blue,,,null,object_05b.png,object_05c.png,,,,,,,,,
null,,rt_plussign_withcolor2,587879,,,,,,,,blue,,,null,object_05b.png,object_05c.png,,,,,,,,,
1393.0999999977648,,rt_thecrossant_black2,589378,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,0.9090909090909091,
null,,color_black2,589483,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,592988,,,,,,,,black_plus_sign,,,null,object_06c.png,object_14a.png,,,,,,,,,
null,,black_cross(without_color)2,593510,,,,,,,,green,,,null,object_06c.png,object_14a.png,,,,,,,,,
null,,rt_plussign_withcolor2,594016,,,,,,,,green,,,null,object_06c.png,object_14a.png,,,,,,,,,
1041.300000000745,,rt_thecrossant_black2,595504,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.9166666666666666,
null,,color_black2,595609,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)2,599112,,,,,,,,black_plus_sign,,,null,object_03c.png,object_12c.png,,,,,,,,,
null,,black_cross(without_color)2,599619,,,,,,,,green,,,null,object_03c.png,object_12c.png,,,,,,,,,
null,,rt_plussign_withcolor2,600123,,,,,,,,green,,,null,object_03c.png,object_12c.png,,,,,,,,,
919.5999999977648,,rt_thecrossant_black2,601629,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.9230769230769231,
null,,color_black2,601732,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,thebreak,601836,,,,,,,,<p></p>,,,null,,,,,,,,,,,
2466.900000002235,,intro_0,604304,,,,,,,,instruct,,,32,,,,,,,,,,,
5375.199999999255,,directmemory_phase2,609680,,,,,,,,object_07b.png,,,51,,,1,,object_05b.png,object_14c.png,object_13a.png,object_13a.png,,0.5625,1
