triadNr,isCorrect,RT,trialtype,testtype,partid,age
4,0,9100.69999998808,test1,inter,6678c37722059e0a2e718dbb,old
10,0,5642.4000000059605,test1,inter,6678c37722059e0a2e718dbb,old
6,1,4626.399999991059,test1,inter,6678c37722059e0a2e718dbb,old
0,0,3403.29999999702,test1,inter,6678c37722059e0a2e718dbb,old
13,0,4909.199999988079,test1,inter,6678c37722059e0a2e718dbb,old
8,0,3709.5,test1,inter,6678c37722059e0a2e718dbb,old
11,1,2568.29999999702,test1,inter,6678c37722059e0a2e718dbb,old
0,1,3858.8999999910593,test1,inter,6678c37722059e0a2e718dbb,old
7,1,2659.5,test1,inter,6678c37722059e0a2e718dbb,old
9,0,4356.29999999702,test1,inter,6678c37722059e0a2e718dbb,old
2,1,3781.5,test1,inter,6678c37722059e0a2e718dbb,old
5,0,12523.70000000298,test1,inter,6678c37722059e0a2e718dbb,old
12,0,2150.9000000059605,test1,inter,6678c37722059e0a2e718dbb,old
14,0,2432.5999999940395,test1,inter,6678c37722059e0a2e718dbb,old
1,0,2500.8999999910593,test1,inter,6678c37722059e0a2e718dbb,old
7,1,4167.4000000059605,test1,inter,6678c37722059e0a2e718dbb,old
2,1,3265.0,test1,inter,6678c37722059e0a2e718dbb,old
3,0,5890.600000008941,test1,inter,6678c37722059e0a2e718dbb,old
9,1,2425.5,test1,inter,6678c37722059e0a2e718dbb,old
1,1,2825.79999999702,test1,inter,6678c37722059e0a2e718dbb,old
14,0,2948.0999999940395,test1,inter,6678c37722059e0a2e718dbb,old
12,0,3592.699999988079,test1,inter,6678c37722059e0a2e718dbb,old
13,0,2356.5999999940395,test1,inter,6678c37722059e0a2e718dbb,old
3,0,2737.5,test1,inter,6678c37722059e0a2e718dbb,old
10,0,4559.300000011921,test1,inter,6678c37722059e0a2e718dbb,old
11,0,2332.8999999910593,test1,inter,6678c37722059e0a2e718dbb,old
6,0,2651.5999999940395,test1,inter,6678c37722059e0a2e718dbb,old
4,0,3970.099999994039,test1,inter,6678c37722059e0a2e718dbb,old
8,0,3477.29999999702,test1,inter,6678c37722059e0a2e718dbb,old
5,0,2687.4000000059605,test1,inter,6678c37722059e0a2e718dbb,old
1,0,4970.20000000298,test2,inter,6678c37722059e0a2e718dbb,old
9,0,4513.0,test2,inter,6678c37722059e0a2e718dbb,old
6,1,3438.8999999910593,test2,inter,6678c37722059e0a2e718dbb,old
5,1,2603.29999999702,test2,inter,6678c37722059e0a2e718dbb,old
0,0,2322.29999999702,test2,inter,6678c37722059e0a2e718dbb,old
10,0,2971.300000011921,test2,inter,6678c37722059e0a2e718dbb,old
3,0,3546.5,test2,inter,6678c37722059e0a2e718dbb,old
13,1,1314.2999999970198,test2,inter,6678c37722059e0a2e718dbb,old
13,0,3134.9000000059605,test2,inter,6678c37722059e0a2e718dbb,old
1,1,3265.6000000089407,test2,inter,6678c37722059e0a2e718dbb,old
