triadNr,isCorrect,RT,trialtype,testtype,partid,age
12,0,3898.1999999284744,test1,inter,678e6eb7170e3a5da7c4ab91,old
3,0,4038.3000000715256,test1,inter,678e6eb7170e3a5da7c4ab91,old
12,1,4364.0,test1,inter,678e6eb7170e3a5da7c4ab91,old
8,1,5754.899999976158,test1,inter,678e6eb7170e3a5da7c4ab91,old
3,1,3363.5,test1,inter,678e6eb7170e3a5da7c4ab91,old
0,0,5927.5,test1,inter,678e6eb7170e3a5da7c4ab91,old
10,0,4275.299999952316,test1,inter,678e6eb7170e3a5da7c4ab91,old
2,1,5484.100000023842,test1,inter,678e6eb7170e3a5da7c4ab91,old
8,0,4541.100000023842,test1,inter,678e6eb7170e3a5da7c4ab91,old
1,0,4009.0,test1,inter,678e6eb7170e3a5da7c4ab91,old
1,1,6961.399999976158,test1,inter,678e6eb7170e3a5da7c4ab91,old
10,0,6742.900000095367,test1,inter,678e6eb7170e3a5da7c4ab91,old
11,1,49.20000004768371,test1,inter,678e6eb7170e3a5da7c4ab91,old
14,0,6512.5,test1,inter,678e6eb7170e3a5da7c4ab91,old
7,1,6075.199999928474,test1,inter,678e6eb7170e3a5da7c4ab91,old
9,1,5781.899999976158,test1,inter,678e6eb7170e3a5da7c4ab91,old
6,1,6874.0,test1,inter,678e6eb7170e3a5da7c4ab91,old
4,1,4484.200000047684,test1,inter,678e6eb7170e3a5da7c4ab91,old
2,1,2991.099999904633,test1,inter,678e6eb7170e3a5da7c4ab91,old
7,1,4095.100000023842,test1,inter,678e6eb7170e3a5da7c4ab91,old
5,1,4057.100000023842,test1,inter,678e6eb7170e3a5da7c4ab91,old
13,1,6177.800000071526,test1,inter,678e6eb7170e3a5da7c4ab91,old
4,1,7248.0,test1,inter,678e6eb7170e3a5da7c4ab91,old
9,1,7279.899999976158,test1,inter,678e6eb7170e3a5da7c4ab91,old
13,1,3507.5,test1,inter,678e6eb7170e3a5da7c4ab91,old
6,0,6745.699999928474,test1,inter,678e6eb7170e3a5da7c4ab91,old
14,1,6974.800000071526,test1,inter,678e6eb7170e3a5da7c4ab91,old
0,1,4075.899999976158,test1,inter,678e6eb7170e3a5da7c4ab91,old
11,0,6461.700000047684,test1,inter,678e6eb7170e3a5da7c4ab91,old
5,1,4531.600000023842,test1,inter,678e6eb7170e3a5da7c4ab91,old
5,1,6131.099999904633,test2,inter,678e6eb7170e3a5da7c4ab91,old
2,1,3294.5,test2,inter,678e6eb7170e3a5da7c4ab91,old
9,1,4136.5,test2,inter,678e6eb7170e3a5da7c4ab91,old
0,0,6850.600000023842,test2,inter,678e6eb7170e3a5da7c4ab91,old
