triadNr,isCorrect,RT,trialtype,testtype,partid,age
13,0,5754.6,test1,block,67f15c3a8fc8c9e4819d340d,old
14,1,4901.9,test1,block,67f15c3a8fc8c9e4819d340d,old
8,1,1686.4,test1,block,67f15c3a8fc8c9e4819d340d,old
10,0,4271.4,test1,block,67f15c3a8fc8c9e4819d340d,old
7,1,3569.3,test1,block,67f15c3a8fc8c9e4819d340d,old
9,0,3270.2,test1,block,67f15c3a8fc8c9e4819d340d,old
4,0,3305.0,test1,block,67f15c3a8fc8c9e4819d340d,old
11,0,3612.8,test1,block,67f15c3a8fc8c9e4819d340d,old
6,0,3469.0,test1,block,67f15c3a8fc8c9e4819d340d,old
2,1,2644.9,test1,block,67f15c3a8fc8c9e4819d340d,old
12,0,2359.1,test1,block,67f15c3a8fc8c9e4819d340d,old
1,0,4060.2,test1,block,67f15c3a8fc8c9e4819d340d,old
0,0,1876.4,test1,block,67f15c3a8fc8c9e4819d340d,old
3,1,2295.9,test1,block,67f15c3a8fc8c9e4819d340d,old
5,0,4242.5,test1,block,67f15c3a8fc8c9e4819d340d,old
4,1,4127.9,test2,block,67f15c3a8fc8c9e4819d340d,old
7,1,2455.8,test2,block,67f15c3a8fc8c9e4819d340d,old
8,1,1240.8,test2,block,67f15c3a8fc8c9e4819d340d,old
5,1,4599.5,test2,block,67f15c3a8fc8c9e4819d340d,old
10,1,3163.2,test2,block,67f15c3a8fc8c9e4819d340d,old
3,1,2965.1,test2,block,67f15c3a8fc8c9e4819d340d,old
1,1,3513.5,test2,block,67f15c3a8fc8c9e4819d340d,old
9,1,2680.9,test2,block,67f15c3a8fc8c9e4819d340d,old
13,1,3484.0,test2,block,67f15c3a8fc8c9e4819d340d,old
6,1,3994.6,test2,block,67f15c3a8fc8c9e4819d340d,old
0,1,3550.4,test2,block,67f15c3a8fc8c9e4819d340d,old
14,1,4010.3,test2,block,67f15c3a8fc8c9e4819d340d,old
11,1,4217.4,test2,block,67f15c3a8fc8c9e4819d340d,old
12,1,5678.6,test2,block,67f15c3a8fc8c9e4819d340d,old
2,0,3604.2,test2,block,67f15c3a8fc8c9e4819d340d,old
0,1,9836.8,test3,block,67f15c3a8fc8c9e4819d340d,old
5,1,4529.9,test3,block,67f15c3a8fc8c9e4819d340d,old
11,1,3615.7,test3,block,67f15c3a8fc8c9e4819d340d,old
4,1,4557.7,test3,block,67f15c3a8fc8c9e4819d340d,old
12,1,4045.6,test3,block,67f15c3a8fc8c9e4819d340d,old
7,1,3691.9,test3,block,67f15c3a8fc8c9e4819d340d,old
10,1,1495.0,test3,block,67f15c3a8fc8c9e4819d340d,old
3,1,1648.9,test3,block,67f15c3a8fc8c9e4819d340d,old
6,1,6025.3,test3,block,67f15c3a8fc8c9e4819d340d,old
9,1,2167.8,test3,block,67f15c3a8fc8c9e4819d340d,old
14,1,3220.6,test3,block,67f15c3a8fc8c9e4819d340d,old
1,1,3966.5,test3,block,67f15c3a8fc8c9e4819d340d,old
8,1,1318.3,test3,block,67f15c3a8fc8c9e4819d340d,old
2,1,2555.5,test3,block,67f15c3a8fc8c9e4819d340d,old
13,1,1900.0,test3,block,67f15c3a8fc8c9e4819d340d,old
14,1,4522.6,test4,block,67f15c3a8fc8c9e4819d340d,old
9,0,2516.1,test4,block,67f15c3a8fc8c9e4819d340d,old
13,1,4269.2,test4,block,67f15c3a8fc8c9e4819d340d,old
4,1,4764.0,test4,block,67f15c3a8fc8c9e4819d340d,old
11,1,3570.9,test4,block,67f15c3a8fc8c9e4819d340d,old
3,1,1555.8,test4,block,67f15c3a8fc8c9e4819d340d,old
7,1,2950.7,test4,block,67f15c3a8fc8c9e4819d340d,old
0,1,3261.8,test4,block,67f15c3a8fc8c9e4819d340d,old
2,1,3955.1,test4,block,67f15c3a8fc8c9e4819d340d,old
10,1,1514.2,test4,block,67f15c3a8fc8c9e4819d340d,old
5,1,4165.3,test4,block,67f15c3a8fc8c9e4819d340d,old
12,0,9055.7,test4,block,67f15c3a8fc8c9e4819d340d,old
8,1,1323.3,test4,block,67f15c3a8fc8c9e4819d340d,old
1,0,2443.5,test4,block,67f15c3a8fc8c9e4819d340d,old
6,1,2347.9,test4,block,67f15c3a8fc8c9e4819d340d,old
9,0,3335.0,test5,block,67f15c3a8fc8c9e4819d340d,old
5,0,1100.1,test5,block,67f15c3a8fc8c9e4819d340d,old
11,0,979.0,test5,block,67f15c3a8fc8c9e4819d340d,old
7,1,1072.2,test5,block,67f15c3a8fc8c9e4819d340d,old
1,0,11671.1,test5,block,67f15c3a8fc8c9e4819d340d,old
4,0,7351.0,test5,block,67f15c3a8fc8c9e4819d340d,old
14,1,13081.3,test5,block,67f15c3a8fc8c9e4819d340d,old
8,1,2527.1,test5,block,67f15c3a8fc8c9e4819d340d,old
13,1,5808.6,test5,block,67f15c3a8fc8c9e4819d340d,old
