triadNr,isCorrect,RT,trialtype,testtype,partid,age
10,0,7503.0,test1,block,614f6bad672ef7cf5ecfd965,old
13,1,5661.0,test1,block,614f6bad672ef7cf5ecfd965,old
12,0,4838.0,test1,block,614f6bad672ef7cf5ecfd965,old
5,1,4271.0,test1,block,614f6bad672ef7cf5ecfd965,old
14,0,3694.0,test1,block,614f6bad672ef7cf5ecfd965,old
7,1,2310.0,test1,block,614f6bad672ef7cf5ecfd965,old
9,0,2830.0,test1,block,614f6bad672ef7cf5ecfd965,old
2,0,3998.0,test1,block,614f6bad672ef7cf5ecfd965,old
3,0,4318.0,test1,block,614f6bad672ef7cf5ecfd965,old
8,0,3845.0,test1,block,614f6bad672ef7cf5ecfd965,old
0,0,2918.0,test1,block,614f6bad672ef7cf5ecfd965,old
6,0,3678.0,test1,block,614f6bad672ef7cf5ecfd965,old
1,1,4351.0,test1,block,614f6bad672ef7cf5ecfd965,old
11,0,4302.0,test1,block,614f6bad672ef7cf5ecfd965,old
4,0,3582.0,test1,block,614f6bad672ef7cf5ecfd965,old
11,1,4327.0,test2,block,614f6bad672ef7cf5ecfd965,old
1,0,3878.0,test2,block,614f6bad672ef7cf5ecfd965,old
12,1,4294.0,test2,block,614f6bad672ef7cf5ecfd965,old
5,0,3421.0,test2,block,614f6bad672ef7cf5ecfd965,old
0,0,3038.0,test2,block,614f6bad672ef7cf5ecfd965,old
2,1,3895.0,test2,block,614f6bad672ef7cf5ecfd965,old
9,1,4126.0,test2,block,614f6bad672ef7cf5ecfd965,old
8,0,4111.0,test2,block,614f6bad672ef7cf5ecfd965,old
3,1,6261.0,test2,block,614f6bad672ef7cf5ecfd965,old
13,1,5182.0,test2,block,614f6bad672ef7cf5ecfd965,old
6,0,4647.0,test2,block,614f6bad672ef7cf5ecfd965,old
14,1,2662.0,test2,block,614f6bad672ef7cf5ecfd965,old
10,1,4037.0,test2,block,614f6bad672ef7cf5ecfd965,old
4,1,3998.0,test2,block,614f6bad672ef7cf5ecfd965,old
7,1,1958.0,test2,block,614f6bad672ef7cf5ecfd965,old
12,0,4048.0,test3,block,614f6bad672ef7cf5ecfd965,old
0,1,2477.0,test3,block,614f6bad672ef7cf5ecfd965,old
3,0,4981.0,test3,block,614f6bad672ef7cf5ecfd965,old
6,0,4430.0,test3,block,614f6bad672ef7cf5ecfd965,old
10,1,4423.0,test3,block,614f6bad672ef7cf5ecfd965,old
4,1,3918.0,test3,block,614f6bad672ef7cf5ecfd965,old
2,0,2693.0,test3,block,614f6bad672ef7cf5ecfd965,old
14,1,4381.0,test3,block,614f6bad672ef7cf5ecfd965,old
1,1,3677.0,test3,block,614f6bad672ef7cf5ecfd965,old
7,1,1663.0,test3,block,614f6bad672ef7cf5ecfd965,old
8,1,2446.0,test3,block,614f6bad672ef7cf5ecfd965,old
13,1,1926.0,test3,block,614f6bad672ef7cf5ecfd965,old
11,1,2654.0,test3,block,614f6bad672ef7cf5ecfd965,old
9,1,3534.0,test3,block,614f6bad672ef7cf5ecfd965,old
5,1,5399.0,test3,block,614f6bad672ef7cf5ecfd965,old
7,1,2449.0,test4,block,614f6bad672ef7cf5ecfd965,old
6,1,3782.0,test4,block,614f6bad672ef7cf5ecfd965,old
13,1,3877.0,test4,block,614f6bad672ef7cf5ecfd965,old
8,1,2037.0,test4,block,614f6bad672ef7cf5ecfd965,old
5,1,5662.0,test4,block,614f6bad672ef7cf5ecfd965,old
14,1,1924.0,test4,block,614f6bad672ef7cf5ecfd965,old
2,0,2141.0,test4,block,614f6bad672ef7cf5ecfd965,old
3,1,4958.0,test4,block,614f6bad672ef7cf5ecfd965,old
0,1,2156.0,test4,block,614f6bad672ef7cf5ecfd965,old
12,1,2205.0,test4,block,614f6bad672ef7cf5ecfd965,old
10,1,3893.0,test4,block,614f6bad672ef7cf5ecfd965,old
11,1,2589.0,test4,block,614f6bad672ef7cf5ecfd965,old
9,1,2950.0,test4,block,614f6bad672ef7cf5ecfd965,old
4,1,3118.0,test4,block,614f6bad672ef7cf5ecfd965,old
1,1,4293.0,test4,block,614f6bad672ef7cf5ecfd965,old
9,0,3903.0,test5,block,614f6bad672ef7cf5ecfd965,old
13,1,3973.0,test5,block,614f6bad672ef7cf5ecfd965,old
