triadNr,isCorrect,RT,trialtype,testtype,partid,age
8,0,5027.7,test1,inter,67f08fc0a2759404677ce665,old
14,0,2807.1,test1,inter,67f08fc0a2759404677ce665,old
0,0,2435.2,test1,inter,67f08fc0a2759404677ce665,old
12,0,3576.9,test1,inter,67f08fc0a2759404677ce665,old
14,1,3146.0,test1,inter,67f08fc0a2759404677ce665,old
11,0,2507.4,test1,inter,67f08fc0a2759404677ce665,old
4,0,2491.0,test1,inter,67f08fc0a2759404677ce665,old
13,0,2487.8,test1,inter,67f08fc0a2759404677ce665,old
4,0,2526.8,test1,inter,67f08fc0a2759404677ce665,old
3,0,3039.9,test1,inter,67f08fc0a2759404677ce665,old
13,1,2671.5,test1,inter,67f08fc0a2759404677ce665,old
1,0,3271.3,test1,inter,67f08fc0a2759404677ce665,old
9,0,3064.6,test1,inter,67f08fc0a2759404677ce665,old
10,1,2045.2,test1,inter,67f08fc0a2759404677ce665,old
6,0,3186.6,test1,inter,67f08fc0a2759404677ce665,old
2,1,3573.8,test1,inter,67f08fc0a2759404677ce665,old
2,0,3199.9,test1,inter,67f08fc0a2759404677ce665,old
11,1,3054.8,test1,inter,67f08fc0a2759404677ce665,old
6,0,2417.5,test1,inter,67f08fc0a2759404677ce665,old
9,0,2844.9,test1,inter,67f08fc0a2759404677ce665,old
0,0,4558.6,test1,inter,67f08fc0a2759404677ce665,old
7,1,3303.1,test1,inter,67f08fc0a2759404677ce665,old
10,0,2598.5,test1,inter,67f08fc0a2759404677ce665,old
7,0,3491.3,test1,inter,67f08fc0a2759404677ce665,old
5,0,2491.3,test1,inter,67f08fc0a2759404677ce665,old
8,1,2547.2,test1,inter,67f08fc0a2759404677ce665,old
5,0,2502.9,test1,inter,67f08fc0a2759404677ce665,old
1,0,3025.6,test1,inter,67f08fc0a2759404677ce665,old
3,0,2686.3,test1,inter,67f08fc0a2759404677ce665,old
12,0,4009.7,test1,inter,67f08fc0a2759404677ce665,old
12,1,2829.7,test2,inter,67f08fc0a2759404677ce665,old
12,0,2058.1,test2,inter,67f08fc0a2759404677ce665,old
7,1,1496.5,test2,inter,67f08fc0a2759404677ce665,old
8,1,1799.7,test2,inter,67f08fc0a2759404677ce665,old
1,0,1796.2,test2,inter,67f08fc0a2759404677ce665,old
6,0,2087.6,test2,inter,67f08fc0a2759404677ce665,old
7,0,1975.4,test2,inter,67f08fc0a2759404677ce665,old
5,1,2133.0,test2,inter,67f08fc0a2759404677ce665,old
10,1,2587.6,test2,inter,67f08fc0a2759404677ce665,old
14,1,3057.5,test2,inter,67f08fc0a2759404677ce665,old
1,0,2558.2,test2,inter,67f08fc0a2759404677ce665,old
2,0,1815.4,test2,inter,67f08fc0a2759404677ce665,old
0,0,1998.2,test2,inter,67f08fc0a2759404677ce665,old
13,1,2096.3,test2,inter,67f08fc0a2759404677ce665,old
5,1,2343.0,test2,inter,67f08fc0a2759404677ce665,old
14,1,2635.4,test2,inter,67f08fc0a2759404677ce665,old
0,1,1985.4,test2,inter,67f08fc0a2759404677ce665,old
3,0,2972.0,test2,inter,67f08fc0a2759404677ce665,old
6,0,5242.9,test2,inter,67f08fc0a2759404677ce665,old
9,0,1984.7,test2,inter,67f08fc0a2759404677ce665,old
11,1,1857.9,test2,inter,67f08fc0a2759404677ce665,old
3,1,3172.7,test2,inter,67f08fc0a2759404677ce665,old
11,0,4014.2,test2,inter,67f08fc0a2759404677ce665,old
13,0,2775.5,test2,inter,67f08fc0a2759404677ce665,old
10,1,3212.4,test2,inter,67f08fc0a2759404677ce665,old
9,0,2245.5,test2,inter,67f08fc0a2759404677ce665,old
4,1,2661.3,test2,inter,67f08fc0a2759404677ce665,old
8,0,2547.1,test2,inter,67f08fc0a2759404677ce665,old
2,1,1790.2,test2,inter,67f08fc0a2759404677ce665,old
4,1,3530.3,test2,inter,67f08fc0a2759404677ce665,old
4,1,2853.2,test3,inter,67f08fc0a2759404677ce665,old
9,1,3497.9,test3,inter,67f08fc0a2759404677ce665,old
0,0,2251.6,test3,inter,67f08fc0a2759404677ce665,old
1,0,1948.5,test3,inter,67f08fc0a2759404677ce665,old
8,0,2310.9,test3,inter,67f08fc0a2759404677ce665,old
0,1,2387.2,test3,inter,67f08fc0a2759404677ce665,old
12,0,2094.8,test3,inter,67f08fc0a2759404677ce665,old
7,1,1702.4,test3,inter,67f08fc0a2759404677ce665,old
3,1,3748.6,test3,inter,67f08fc0a2759404677ce665,old
1,0,3117.1,test3,inter,67f08fc0a2759404677ce665,old
4,0,2319.8,test3,inter,67f08fc0a2759404677ce665,old
6,1,2705.4,test3,inter,67f08fc0a2759404677ce665,old
3,1,2913.1,test3,inter,67f08fc0a2759404677ce665,old
2,1,2769.8,test3,inter,67f08fc0a2759404677ce665,old
13,1,2630.2,test3,inter,67f08fc0a2759404677ce665,old
5,1,2593.1,test3,inter,67f08fc0a2759404677ce665,old
2,1,1563.4,test3,inter,67f08fc0a2759404677ce665,old
14,1,3732.9,test3,inter,67f08fc0a2759404677ce665,old
6,0,2921.2,test3,inter,67f08fc0a2759404677ce665,old
11,0,3269.0,test3,inter,67f08fc0a2759404677ce665,old
8,0,2631.5,test3,inter,67f08fc0a2759404677ce665,old
7,1,3512.2,test3,inter,67f08fc0a2759404677ce665,old
10,0,2443.5,test3,inter,67f08fc0a2759404677ce665,old
12,0,2203.9,test3,inter,67f08fc0a2759404677ce665,old
9,1,3050.2,test3,inter,67f08fc0a2759404677ce665,old
11,0,2635.2,test3,inter,67f08fc0a2759404677ce665,old
14,0,3314.0,test3,inter,67f08fc0a2759404677ce665,old
13,1,3076.8,test3,inter,67f08fc0a2759404677ce665,old
10,1,1684.5,test3,inter,67f08fc0a2759404677ce665,old
5,1,2170.3,test3,inter,67f08fc0a2759404677ce665,old
6,0,1804.1,test4,inter,67f08fc0a2759404677ce665,old
0,1,3307.5,test4,inter,67f08fc0a2759404677ce665,old
6,1,1749.0,test4,inter,67f08fc0a2759404677ce665,old
1,0,2660.5,test4,inter,67f08fc0a2759404677ce665,old
1,0,3839.0,test4,inter,67f08fc0a2759404677ce665,old
7,1,1958.2,test4,inter,67f08fc0a2759404677ce665,old
8,1,1828.2,test4,inter,67f08fc0a2759404677ce665,old
11,0,1798.3,test4,inter,67f08fc0a2759404677ce665,old
0,0,1806.4,test4,inter,67f08fc0a2759404677ce665,old
5,1,2246.3,test4,inter,67f08fc0a2759404677ce665,old
2,1,1412.8,test4,inter,67f08fc0a2759404677ce665,old
7,1,1388.0,test4,inter,67f08fc0a2759404677ce665,old
14,0,2748.5,test4,inter,67f08fc0a2759404677ce665,old
4,0,2574.1,test4,inter,67f08fc0a2759404677ce665,old
5,0,1942.2,test4,inter,67f08fc0a2759404677ce665,old
2,1,1548.7,test4,inter,67f08fc0a2759404677ce665,old
10,0,2407.3,test4,inter,67f08fc0a2759404677ce665,old
9,0,3408.0,test4,inter,67f08fc0a2759404677ce665,old
3,1,3178.8,test4,inter,67f08fc0a2759404677ce665,old
3,1,2439.4,test4,inter,67f08fc0a2759404677ce665,old
4,0,2591.7,test4,inter,67f08fc0a2759404677ce665,old
8,0,2523.9,test4,inter,67f08fc0a2759404677ce665,old
9,0,1807.0,test4,inter,67f08fc0a2759404677ce665,old
12,0,2597.5,test4,inter,67f08fc0a2759404677ce665,old
12,0,2581.8,test4,inter,67f08fc0a2759404677ce665,old
13,1,3160.0,test4,inter,67f08fc0a2759404677ce665,old
13,1,1937.8,test4,inter,67f08fc0a2759404677ce665,old
11,1,1894.4,test4,inter,67f08fc0a2759404677ce665,old
10,0,2387.4,test4,inter,67f08fc0a2759404677ce665,old
14,0,1812.2,test4,inter,67f08fc0a2759404677ce665,old
5,1,3164.8,part2,inter,67f08fc0a2759404677ce665,old
14,0,3889.8,part2,inter,67f08fc0a2759404677ce665,old
0,0,3027.3,part2,inter,67f08fc0a2759404677ce665,old
11,0,3287.9,part2,inter,67f08fc0a2759404677ce665,old
7,0,1969.4,part2,inter,67f08fc0a2759404677ce665,old
2,0,4966.8,part2,inter,67f08fc0a2759404677ce665,old
4,0,2201.2,part2,inter,67f08fc0a2759404677ce665,old
6,0,3685.3,part2,inter,67f08fc0a2759404677ce665,old
8,0,2362.6,part2,inter,67f08fc0a2759404677ce665,old
3,1,2790.8,part2,inter,67f08fc0a2759404677ce665,old
10,0,3567.9,part2,inter,67f08fc0a2759404677ce665,old
12,1,2900.8,part2,inter,67f08fc0a2759404677ce665,old
