rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy
5118.700000286102,{worker_id:5f77c6a1a110ce346dc016ec},id_enter,5119,object_07c.png; object_13c.png; object_06b.png; object_07a.png; object_10a.png; object_12c.png; object_11c.png; object_03c.png; object_12a.png; object_05a.png; object_14b.png; object_15c.png; object_13b.png; object_06a.png; object_09b.png,object_02a.png; object_13a.png; object_03b.png; object_14a.png; object_08c.png; object_08b.png; object_11a.png; object_05b.png; object_10c.png; object_04b.png; object_11b.png; object_03a.png; object_05c.png; object_06c.png; object_04c.png,object_01c.png; object_01b.png; object_15a.png; object_12b.png; object_08a.png; object_09c.png; object_01a.png; object_15b.png; object_07b.png; object_02c.png; object_02b.png; object_04a.png; object_09a.png; object_14c.png; object_10b.png,,,,,,,
13280,,make_fullscreen,18401,,,,fullscreen,0,,,,,
3508.2000002861023,,instruct_1,21945,,,,instruct,0,Next,,,,
9535.400000095367,,instruct_2,31481,,,,instruct,1,Next,,,,
6881.099999904633,,instruct_3,38363,,,,instruct,1,Next,,,,
5720.300000190735,,instruct_4,44084,,,,instruct,1,Next,,,,
2544.2000002861023,,instruct_5,46628,,,,instruct,1,Next,,,,
2638.9000000953674,,instruct_6,49268,,,,instruct,1,Next,,,,
12769.5,,instruct_7,62038,,,,instruct,1,Next,,,,
null,,prac_atten_color_black,62737,,,,black_plus_sign,,,null,,,
null,,prac_atten_color,63442,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,
744.0999999046326,,prac_atten_color_black,65443,,,,black_plus_sign,,,49,,,
null,,prac_atten_color_black,66142,,,,black_plus_sign,,,null,,,
null,,prac_atten_color,66924,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,
52,,prac_atten_color_black,68926,,,,black_plus_sign,,,50,,,
null,,prac_atten_color_black,69548,,,,black_plus_sign,,,null,,,
null,,prac_atten_color,70072,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,
143.40000009536743,,prac_atten_color_black,72075,,,,black_plus_sign,,,50,,,
null,,prac_atten_color_black,72954,,,,black_plus_sign,,,null,,,
817.5999999046326,,prac_atten_color,73878,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,
null,,prac_atten_color_black,75880,,,,black_plus_sign,,,null,,,
null,,prac_atten_color_black,76359,,,,black_plus_sign,,,null,,,
414.90000009536743,,prac_atten_color,77302,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,
null,,prac_atten_color_black,79304,,,,black_plus_sign,,,null,,,
null,,prac_atten_color_black,79764,,,,black_plus_sign,,,null,,,
null,,prac_atten_color,80327,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,
81.2999997138977,,prac_atten_color_black,82329,,,,black_plus_sign,,,50,,,
null,,prac_atten_color_black,83171,,,,black_plus_sign,,,null,,,
443.80000019073486,,prac_atten_color,84051,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,
null,,prac_atten_color_black,86053,,,,black_plus_sign,,,null,,,
5729.900000095367,,attentioncheck_help,91783,,,,instruct,,,32,,,
null,,prac_atten_color_black,92308,,,,black_plus_sign,,,null,,,
null,,prac_atten_color,92924,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,
310.69999980926514,,prac_atten_color_black,94925,,,,black_plus_sign,,,49,,,
2438,,attentioncheck_help,97364,,,,instruct,,,32,,,
null,,prac_atten_color_black,98153,,,,black_plus_sign,,,null,,,
null,,prac_atten_color,98642,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,
420.19999980926514,,prac_atten_color_black,100643,,,,black_plus_sign,,,49,,,
null,,prac_atten_color_black,101559,,,,black_plus_sign,,,null,,,
631.7000002861023,,prac_atten_color,102286,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,
null,,prac_atten_color_black,104288,,,,black_plus_sign,,,null,,,
3170.7000002861023,,attentioncheck_feedback,107460,,,,cross_check_feedback,0,,,,,
2020.6999998092651,,last_instruct,109481,,,,instruct,,,32,,,
null,,prac_learn_phase(without_color),112983,,,,black_plus_sign,,,null,object_07c.png,object_02a.png,
null,,prac_black_cross(without_color),113789,,,,blue,,,null,object_07c.png,object_02a.png,
null,,prac_rt_plussign_withcolor,114292,,,,blue,,,null,object_07c.png,object_02a.png,
null,,prac_rt_thecrossant_black,115491,,,,black_plus_sign,,,null,,,NaN
null,,prac_color_black,115593,,,,black_plus_sign,,,null,,,
null,,prac_learn_phase(without_color),119095,,,,black_plus_sign,,,null,object_13c.png,object_13a.png,
null,,black_cross(without_color)1,119867,,,,green,,,null,object_07c.png,object_02a.png,
null,,prac_rt_plussign_withcolor,120369,,,,green,,,null,object_13c.png,object_13a.png,
null,,prac_rt_thecrossant_black,121510,,,,black_plus_sign,,,null,,,NaN
