rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
null,,prac_rt_thecrossant_black,1055218,,,,black_plus_sign,,,null,,,,1,,,,,,,
null,,prac_color_black,1055328,,,,black_plus_sign,,,null,,,,,,,,,,,
7790.799999999814,,instruct_dir_01,1063132,,,,instruct,0,Next,,,,,,,,,,,,
4147.5,,instruct_dir_2,1067287,,,,instruct,1,Next,,,,,,,,,,,,
2218.9000000003725,,instruct_dir_3,1069514,,,,instruct,1,Next,,,,,,,,,,,,
4801.199999999721,,instruct_dir_4,1074322,,,,instruct,1,Start,,,,,,,,,,,,
null,,thebreak,1074428,,,,<p></p>,,,null,,,,,,,,,,,
2164.2000000001863,,intro_0,1076600,,,,instruct,,,32,,,,,,,,,,,
2671.899999999907,,prac_directmemory_phase,1079279,,,,practice/object_01a.png,,,49,,,1,,practice/object_01b.png,practice/object_03b.png,practice/object_03a.png,practice/object_01b.png,1,1,
3534.399999999907,,prac_directmemory_phase,1082821,,,,practice/object_02a.png,,,50,,,0,,practice/object_02b.png,practice/object_04b.png,practice/object_01a.png,practice/object_02b.png,0,0.5,
3225.600000000093,,prac_directmemory_phase,1086056,,,,practice/object_04a.png,,,51,,,1,,practice/object_01b.png,practice/object_03a.png,practice/object_04b.png,practice/object_04b.png,1,0.6666666666666666,
2498.100000000093,,prac_directmemory_phase,1088564,,,,practice/object_03a.png,,,49,,,0,,practice/object_02b.png,practice/object_04a.png,practice/object_03b.png,practice/object_03b.png,0,0.5,
