rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy
1624.3999998569489,,rt_thecrossant_black2,1816298,,,,black_plus_sign,,,50,,,1,,,,,,,0.75,,
null,,color_black2,1816412,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,1819921,,,,black_plus_sign,,,null,object_03c.png,object_02a.png,,,,,,,,,,
null,,black_cross(without_color)2,1820906,,,,blue,,,null,object_03c.png,object_02a.png,,,,,,,,,,
null,,rt_plussign_withcolor2,1821418,,,,blue,,,null,object_03c.png,object_02a.png,,,,,,,,,,
1144.7000000476837,,rt_thecrossant_black2,1822449,,,,black_plus_sign,,,49,,,1,,,,,,,0.7777777777777778,,
null,,color_black2,1822559,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,1826073,,,,black_plus_sign,,,null,object_07a.png,object_04c.png,,,,,,,,,,
null,,black_cross(without_color)2,1826890,,,,green,,,null,object_07a.png,object_04c.png,,,,,,,,,,
null,,rt_plussign_withcolor2,1827398,,,,green,,,null,object_07a.png,object_04c.png,,,,,,,,,,
2051.2999999523163,,rt_thecrossant_black2,1828589,,,,black_plus_sign,,,49,,,0,,,,,,,0.7,,
null,,color_black2,1828697,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,1832206,,,,black_plus_sign,,,null,object_10a.png,object_08b.png,,,,,,,,,,
null,,black_cross(without_color)2,1832657,,,,blue,,,null,object_10a.png,object_08b.png,,,,,,,,,,
null,,rt_plussign_withcolor2,1833165,,,,blue,,,null,object_10a.png,object_08b.png,,,,,,,,,,
1161,,rt_thecrossant_black2,1834741,,,,black_plus_sign,,,49,,,1,,,,,,,0.7272727272727273,,
null,,color_black2,1834848,,,,black_plus_sign,,,null,,,,,,,,,,,,
