triadNr,isCorrect,RT,trialtype,testtype,partid,age
5,1,5938.800000011921,test1,inter,5bc913d99427200001dd47f5,old
14,1,5527.300000011921,test1,inter,5bc913d99427200001dd47f5,old
3,1,4235.800000011921,test1,inter,5bc913d99427200001dd47f5,old
1,0,5342.199999988079,test1,inter,5bc913d99427200001dd47f5,old
12,0,5969.699999988079,test1,inter,5bc913d99427200001dd47f5,old
10,0,6715.100000023842,test1,inter,5bc913d99427200001dd47f5,old
9,1,3337.699999988079,test1,inter,5bc913d99427200001dd47f5,old
13,0,8730.399999976158,test1,inter,5bc913d99427200001dd47f5,old
12,1,4984.899999976158,test1,inter,5bc913d99427200001dd47f5,old
7,0,6706.600000023842,test1,inter,5bc913d99427200001dd47f5,old
2,1,7863.199999988079,test1,inter,5bc913d99427200001dd47f5,old
13,1,4093.899999976158,test1,inter,5bc913d99427200001dd47f5,old
11,0,4625.800000011921,test1,inter,5bc913d99427200001dd47f5,old
8,0,5899.099999964237,test1,inter,5bc913d99427200001dd47f5,old
0,1,5760.199999988079,test1,inter,5bc913d99427200001dd47f5,old
8,1,5094.400000035763,test1,inter,5bc913d99427200001dd47f5,old
11,1,3604.5,test1,inter,5bc913d99427200001dd47f5,old
10,1,6052.400000035763,test1,inter,5bc913d99427200001dd47f5,old
6,1,10383.600000023842,test1,inter,5bc913d99427200001dd47f5,old
4,1,5958.900000035763,test1,inter,5bc913d99427200001dd47f5,old
3,0,6807.800000011921,test1,inter,5bc913d99427200001dd47f5,old
9,0,7517.199999988079,test1,inter,5bc913d99427200001dd47f5,old
4,1,5663.299999952316,test1,inter,5bc913d99427200001dd47f5,old
14,1,6170.600000023842,test1,inter,5bc913d99427200001dd47f5,old
7,1,8801.300000011921,test1,inter,5bc913d99427200001dd47f5,old
6,1,5877.0,test1,inter,5bc913d99427200001dd47f5,old
1,0,4756.599999964237,test1,inter,5bc913d99427200001dd47f5,old
0,1,4448.199999988079,test1,inter,5bc913d99427200001dd47f5,old
2,1,4997.0,test1,inter,5bc913d99427200001dd47f5,old
5,1,8668.800000011921,test1,inter,5bc913d99427200001dd47f5,old
6,1,11088.80000001192,test2,inter,5bc913d99427200001dd47f5,old
2,1,2438.5,test2,inter,5bc913d99427200001dd47f5,old
1,1,12550.600000023842,test2,inter,5bc913d99427200001dd47f5,old
4,1,6522.600000023842,test2,inter,5bc913d99427200001dd47f5,old
12,1,7824.100000023842,test2,inter,5bc913d99427200001dd47f5,old
9,1,4762.400000035763,test2,inter,5bc913d99427200001dd47f5,old
4,1,4670.299999952316,test2,inter,5bc913d99427200001dd47f5,old
3,1,3132.099999964237,test2,inter,5bc913d99427200001dd47f5,old
6,1,2292.800000011921,test2,inter,5bc913d99427200001dd47f5,old
13,1,1836.4000000357628,test2,inter,5bc913d99427200001dd47f5,old
8,0,13616.80000001192,test2,inter,5bc913d99427200001dd47f5,old
5,1,7617.199999988079,test2,inter,5bc913d99427200001dd47f5,old
7,1,9475.399999976158,test2,inter,5bc913d99427200001dd47f5,old
7,1,6964.200000047684,test2,inter,5bc913d99427200001dd47f5,old
13,0,11397.80000001192,test2,inter,5bc913d99427200001dd47f5,old
0,0,10719.899999976158,test2,inter,5bc913d99427200001dd47f5,old
11,1,2243.900000035763,test2,inter,5bc913d99427200001dd47f5,old
0,0,11271.69999998808,test2,inter,5bc913d99427200001dd47f5,old
8,1,3596.0,test2,inter,5bc913d99427200001dd47f5,old
14,1,4561.800000011921,test2,inter,5bc913d99427200001dd47f5,old
1,1,3892.5,test2,inter,5bc913d99427200001dd47f5,old
14,0,6804.699999988079,test2,inter,5bc913d99427200001dd47f5,old
12,1,8142.5,test2,inter,5bc913d99427200001dd47f5,old
10,1,3333.5,test2,inter,5bc913d99427200001dd47f5,old
2,0,6568.800000011921,test2,inter,5bc913d99427200001dd47f5,old
5,1,5242.400000035763,test2,inter,5bc913d99427200001dd47f5,old
10,1,3502.100000023842,test2,inter,5bc913d99427200001dd47f5,old
3,1,8495.400000035763,test2,inter,5bc913d99427200001dd47f5,old
9,1,10534.5,test2,inter,5bc913d99427200001dd47f5,old
11,0,9913.80000001192,test2,inter,5bc913d99427200001dd47f5,old
1,1,4217.199999988079,test3,inter,5bc913d99427200001dd47f5,old
14,1,5086.700000047684,test3,inter,5bc913d99427200001dd47f5,old
6,1,2544.400000035763,test3,inter,5bc913d99427200001dd47f5,old
10,1,1951.5999999642372,test3,inter,5bc913d99427200001dd47f5,old
13,1,4775.300000011921,test3,inter,5bc913d99427200001dd47f5,old
5,1,4564.300000011921,test3,inter,5bc913d99427200001dd47f5,old
14,1,4128.5,test3,inter,5bc913d99427200001dd47f5,old
11,1,5983.300000011921,test3,inter,5bc913d99427200001dd47f5,old
2,1,3122.599999964237,test3,inter,5bc913d99427200001dd47f5,old
2,1,2778.199999988079,test3,inter,5bc913d99427200001dd47f5,old
1,1,6164.900000035763,test3,inter,5bc913d99427200001dd47f5,old
10,1,2533.699999988079,test3,inter,5bc913d99427200001dd47f5,old
8,1,2315.0,test3,inter,5bc913d99427200001dd47f5,old
3,1,5187.800000011921,test3,inter,5bc913d99427200001dd47f5,old
