triadNr,isCorrect,RT,trialtype,testtype,partid,age
3,0,7382.09999999404,test1,inter,6726c70622b97e6722fa53d8,old
12,0,4385.0999999940395,test1,inter,6726c70622b97e6722fa53d8,old
2,1,3266.5,test1,inter,6726c70622b97e6722fa53d8,old
8,0,3030.4000000059605,test1,inter,6726c70622b97e6722fa53d8,old
13,1,3861.0,test1,inter,6726c70622b97e6722fa53d8,old
9,0,6381.5999999940395,test1,inter,6726c70622b97e6722fa53d8,old
9,0,5364.0999999940395,test1,inter,6726c70622b97e6722fa53d8,old
7,0,3745.599999994039,test1,inter,6726c70622b97e6722fa53d8,old
10,1,2595.0999999940395,test1,inter,6726c70622b97e6722fa53d8,old
6,1,3715.7000000178814,test1,inter,6726c70622b97e6722fa53d8,old
4,1,4098.699999988079,test1,inter,6726c70622b97e6722fa53d8,old
10,0,3379.399999976158,test1,inter,6726c70622b97e6722fa53d8,old
0,1,4661.4000000059605,test1,inter,6726c70622b97e6722fa53d8,old
5,1,3211.699999988079,test1,inter,6726c70622b97e6722fa53d8,old
12,0,4668.0999999940395,test1,inter,6726c70622b97e6722fa53d8,old
14,0,5062.0999999940395,test1,inter,6726c70622b97e6722fa53d8,old
2,0,4389.5,test1,inter,6726c70622b97e6722fa53d8,old
11,0,2636.5999999940395,test1,inter,6726c70622b97e6722fa53d8,old
13,1,4269.799999982119,test1,inter,6726c70622b97e6722fa53d8,old
4,1,4098.699999988079,test1,inter,6726c70622b97e6722fa53d8,old
6,0,3847.099999994039,test1,inter,6726c70622b97e6722fa53d8,old
7,0,5100.200000017881,test1,inter,6726c70622b97e6722fa53d8,old
1,0,6529.800000011921,test1,inter,6726c70622b97e6722fa53d8,old
5,1,4690.4000000059605,test1,inter,6726c70622b97e6722fa53d8,old
0,0,3052.600000023842,test1,inter,6726c70622b97e6722fa53d8,old
8,0,3201.5999999940395,test1,inter,6726c70622b97e6722fa53d8,old
3,1,3614.699999988079,test1,inter,6726c70622b97e6722fa53d8,old
14,0,3625.900000005961,test1,inter,6726c70622b97e6722fa53d8,old
11,1,3855.5,test1,inter,6726c70622b97e6722fa53d8,old
1,0,5982.300000011921,test1,inter,6726c70622b97e6722fa53d8,old
12,0,8524.09999999404,test2,inter,6726c70622b97e6722fa53d8,old
5,0,5111.300000011921,test2,inter,6726c70622b97e6722fa53d8,old
3,0,4160.199999988079,test2,inter,6726c70622b97e6722fa53d8,old
14,0,3835.400000005961,test2,inter,6726c70622b97e6722fa53d8,old
13,0,3875.599999994039,test2,inter,6726c70622b97e6722fa53d8,old
8,0,9282.09999999404,test2,inter,6726c70622b97e6722fa53d8,old
8,0,7856.199999988079,test2,inter,6726c70622b97e6722fa53d8,old
4,1,4561.200000017881,test2,inter,6726c70622b97e6722fa53d8,old
2,1,3808.300000011921,test2,inter,6726c70622b97e6722fa53d8,old
5,0,3734.699999988079,test2,inter,6726c70622b97e6722fa53d8,old
2,1,6528.0,test2,inter,6726c70622b97e6722fa53d8,old
10,1,3549.5999999940395,test2,inter,6726c70622b97e6722fa53d8,old
7,0,6568.0999999940395,test2,inter,6726c70622b97e6722fa53d8,old
7,1,5813.0,test2,inter,6726c70622b97e6722fa53d8,old
1,1,3832.7000000178814,test2,inter,6726c70622b97e6722fa53d8,old
13,1,2554.199999988079,test2,inter,6726c70622b97e6722fa53d8,old
6,1,3790.300000011921,test2,inter,6726c70622b97e6722fa53d8,old
0,1,3125.100000023842,test2,inter,6726c70622b97e6722fa53d8,old
10,0,3723.900000005961,test2,inter,6726c70622b97e6722fa53d8,old
4,0,4817.699999988079,test2,inter,6726c70622b97e6722fa53d8,old
14,1,3187.2999999821186,test2,inter,6726c70622b97e6722fa53d8,old
0,0,3991.599999994039,test2,inter,6726c70622b97e6722fa53d8,old
12,1,3344.0999999940395,test2,inter,6726c70622b97e6722fa53d8,old
9,1,3878.099999994039,test2,inter,6726c70622b97e6722fa53d8,old
6,1,2569.4000000059605,test2,inter,6726c70622b97e6722fa53d8,old
1,1,3580.9000000059605,test2,inter,6726c70622b97e6722fa53d8,old
9,1,4149.299999982119,test2,inter,6726c70622b97e6722fa53d8,old
3,1,2909.5999999940395,test2,inter,6726c70622b97e6722fa53d8,old
11,1,4161.300000011921,test2,inter,6726c70622b97e6722fa53d8,old
11,1,6094.4000000059605,test2,inter,6726c70622b97e6722fa53d8,old
1,1,4143.9000000059605,test3,inter,6726c70622b97e6722fa53d8,old
3,1,2847.0,test3,inter,6726c70622b97e6722fa53d8,old
9,1,2778.2999999821186,test3,inter,6726c70622b97e6722fa53d8,old
12,0,7255.0,test3,inter,6726c70622b97e6722fa53d8,old
13,1,3116.300000011921,test3,inter,6726c70622b97e6722fa53d8,old
8,0,7575.200000017881,test3,inter,6726c70622b97e6722fa53d8,old
6,1,1865.9000000059605,test3,inter,6726c70622b97e6722fa53d8,old
8,1,7515.40000000596,test3,inter,6726c70622b97e6722fa53d8,old
2,0,5865.700000017881,test3,inter,6726c70622b97e6722fa53d8,old
0,0,4572.5,test3,inter,6726c70622b97e6722fa53d8,old
0,0,4966.4000000059605,test3,inter,6726c70622b97e6722fa53d8,old
14,0,3228.2000000178814,test3,inter,6726c70622b97e6722fa53d8,old
4,0,2814.0,test3,inter,6726c70622b97e6722fa53d8,old
9,1,6739.699999988079,test3,inter,6726c70622b97e6722fa53d8,old
1,1,2822.9000000059605,test3,inter,6726c70622b97e6722fa53d8,old
11,0,8464.5,test3,inter,6726c70622b97e6722fa53d8,old
