triadNr,isCorrect,RT,trialtype,testtype,partid,age
7,0,6825.0,test1,inter,67f0f41f47eb50d095c38f61,old
5,1,8330.799999982119,test1,inter,67f0f41f47eb50d095c38f61,old
0,1,12665.70000001788,test1,inter,67f0f41f47eb50d095c38f61,old
9,1,9656.100000023842,test1,inter,67f0f41f47eb50d095c38f61,old
10,1,9831.90000000596,test1,inter,67f0f41f47eb50d095c38f61,old
9,0,,test1,inter,67f0f41f47eb50d095c38f61,old
8,1,3114.800000011921,test1,inter,67f0f41f47eb50d095c38f61,old
1,1,8382.0,test1,inter,67f0f41f47eb50d095c38f61,old
4,1,5784.5999999940395,test1,inter,67f0f41f47eb50d095c38f61,old
2,0,9317.5,test1,inter,67f0f41f47eb50d095c38f61,old
10,1,6054.4000000059605,test1,inter,67f0f41f47eb50d095c38f61,old
8,1,5848.300000011921,test1,inter,67f0f41f47eb50d095c38f61,old
12,1,2144.7000000178814,test1,inter,67f0f41f47eb50d095c38f61,old
13,1,5462.0,test1,inter,67f0f41f47eb50d095c38f61,old
4,1,4382.4000000059605,test1,inter,67f0f41f47eb50d095c38f61,old
1,1,10542.09999999404,test1,inter,67f0f41f47eb50d095c38f61,old
13,1,9303.30000001192,test1,inter,67f0f41f47eb50d095c38f61,old
7,1,12010.90000000596,test1,inter,67f0f41f47eb50d095c38f61,old
11,1,8796.0,test1,inter,67f0f41f47eb50d095c38f61,old
2,1,2027.9000000059605,test1,inter,67f0f41f47eb50d095c38f61,old
3,0,10920.0,test1,inter,67f0f41f47eb50d095c38f61,old
3,1,4989.799999982119,test1,inter,67f0f41f47eb50d095c38f61,old
11,0,13358.600000023842,test1,inter,67f0f41f47eb50d095c38f61,old
14,1,5842.800000011921,test1,inter,67f0f41f47eb50d095c38f61,old
6,1,10375.20000001788,test1,inter,67f0f41f47eb50d095c38f61,old
14,1,7052.699999988079,test1,inter,67f0f41f47eb50d095c38f61,old
12,0,9736.70000001788,test1,inter,67f0f41f47eb50d095c38f61,old
0,0,8967.0,test1,inter,67f0f41f47eb50d095c38f61,old
6,0,7622.90000000596,test1,inter,67f0f41f47eb50d095c38f61,old
5,1,10543.30000001192,test1,inter,67f0f41f47eb50d095c38f61,old
8,1,3016.800000011921,test2,inter,67f0f41f47eb50d095c38f61,old
6,0,9441.100000023842,test2,inter,67f0f41f47eb50d095c38f61,old
12,0,4335.200000017881,test2,inter,67f0f41f47eb50d095c38f61,old
10,0,9544.09999999404,test2,inter,67f0f41f47eb50d095c38f61,old
11,1,4390.0,test2,inter,67f0f41f47eb50d095c38f61,old
14,1,6279.200000017881,test2,inter,67f0f41f47eb50d095c38f61,old
1,0,12451.09999999404,test2,inter,67f0f41f47eb50d095c38f61,old
3,1,6941.9000000059605,test2,inter,67f0f41f47eb50d095c38f61,old
2,1,257.0,test2,inter,67f0f41f47eb50d095c38f61,old
11,0,6828.5999999940395,test2,inter,67f0f41f47eb50d095c38f61,old
