rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy
1446.7000000029802,,rt_thecrossant_black2,728819,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black2,728928,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,732449,,,,black_plus_sign,,,null,,object_04b.png,object_06a.png,,,,,,,,,
null,,black_cross(without_color)2,733444,,,,green,,,null,,object_04b.png,object_06a.png,,,,,,,,,
null,,rt_plussign_withcolor2,733949,,,,green,,,null,,object_04b.png,object_06a.png,,,,,,,,,
1067.3999999985099,,rt_thecrossant_black2,734990,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black2,735098,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,738612,,,,black_plus_sign,,,null,,object_13c.png,object_03a.png,,,,,,,,,
null,,black_cross(without_color)2,739262,,,,blue,,,null,,object_13c.png,object_03a.png,,,,,,,,,
null,,rt_plussign_withcolor2,739768,,,,blue,,,null,,object_13c.png,object_03a.png,,,,,,,,,
1351.1000000014901,,rt_thecrossant_black2,741142,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black2,741271,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,744786,,,,black_plus_sign,,,null,,object_14c.png,object_12b.png,,,,,,,,,
null,,black_cross(without_color)2,745388,,,,green,,,null,,object_14c.png,object_12b.png,,,,,,,,,
null,,rt_plussign_withcolor2,745900,,,,green,,,null,,object_14c.png,object_12b.png,,,,,,,,,
1086.3000000044703,,rt_thecrossant_black2,747316,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black2,747426,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,750940,,,,black_plus_sign,,,null,,object_02c.png,object_08b.png,,,,,,,,,
null,,black_cross(without_color)2,751790,,,,green,,,null,,object_02c.png,object_08b.png,,,,,,,,,
null,,rt_plussign_withcolor2,752314,,,,green,,,null,,object_02c.png,object_08b.png,,,,,,,,,
781.5,,rt_thecrossant_black2,753482,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black2,753596,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,757105,,,,black_plus_sign,,,null,,object_10b.png,object_05c.png,,,,,,,,,
null,,black_cross(without_color)2,757765,,,,green,,,null,,object_10b.png,object_05c.png,,,,,,,,,
null,,rt_plussign_withcolor2,758271,,,,green,,,null,,object_10b.png,object_05c.png,,,,,,,,,
1066.8999999985099,,rt_thecrossant_black2,759630,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black2,759736,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,763243,,,,black_plus_sign,,,null,,object_15c.png,object_14b.png,,,,,,,,,
null,,black_cross(without_color)2,763747,,,,green,,,null,,object_15c.png,object_14b.png,,,,,,,,,
null,,rt_plussign_withcolor2,764252,,,,green,,,null,,object_15c.png,object_14b.png,,,,,,,,,
979.8000000044703,,rt_thecrossant_black2,765766,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black2,765871,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,769379,,,,black_plus_sign,,,null,,object_02a.png,object_13b.png,,,,,,,,,
null,,black_cross(without_color)2,770481,,,,green,,,null,,object_02a.png,object_13b.png,,,,,,,,,
null,,rt_plussign_withcolor2,770988,,,,green,,,null,,object_02a.png,object_13b.png,,,,,,,,,
880.5,,rt_thecrossant_black2,771913,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black2,772025,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,775538,,,,black_plus_sign,,,null,,object_11b.png,object_14a.png,,,,,,,,,
null,,black_cross(without_color)2,776492,,,,blue,,,null,,object_11b.png,object_14a.png,,,,,,,,,
null,,rt_plussign_withcolor2,776997,,,,blue,,,null,,object_11b.png,object_14a.png,,,,,,,,,
1260,,rt_thecrossant_black2,778095,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black2,778205,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)2,781718,,,,black_plus_sign,,,null,,object_04a.png,object_11c.png,,,,,,,,,
null,,black_cross(without_color)2,782160,,,,blue,,,null,,object_04a.png,object_11c.png,,,,,,,,,
null,,rt_plussign_withcolor2,782668,,,,blue,,,null,,object_04a.png,object_11c.png,,,,,,,,,
1479.1000000014901,,rt_thecrossant_black2,784266,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black2,784378,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,thebreak,784492,,,,<p></p>,,,null,,,,,,,,,,,,
1649.7000000029802,,intro_0,786149,,,,instruct,,,32,,,,,,,,,,,,
4243.79999999702,,directmemory_phase2,790405,,,,object_02b.png,,,50,,,,1,,object_01c.png,object_03b.png,object_08b.png,object_03b.png,,0.625,1
10030.5,,directmemory_phase2,800451,,,,object_14b.png,,,50,,,,0,,object_15c.png,object_13b.png,object_01c.png,object_15c.png,,0.5882352941176471,0
4592.5999999940395,,directmemory_phase2,805060,,,,object_12b.png,,,50,,,,1,,object_04c.png,object_14c.png,object_03b.png,object_14c.png,,0.6111111111111112,1
7527.5,,directmemory_phase2,812602,,,,object_09c.png,,,51,,,,0,,object_01c.png,object_13a.png,object_04a.png,object_13a.png,,0.5789473684210527,0
5365.89999999851,,directmemory_phase2,817973,,,,object_10b.png,,,49,,,,1,,object_05c.png,object_03b.png,object_14a.png,object_05c.png,,0.6,1
5549.39999999851,,directmemory_phase2,823528,,,,object_03c.png,,,49,,,,1,,object_10a.png,object_04a.png,object_11c.png,object_10a.png,,0.6190476190476191,1
4816.70000000298,,directmemory_phase2,828351,,,,object_04c.png,,,50,,,,1,,object_02a.png,object_15b.png,object_04b.png,object_15b.png,,0.6363636363636364,1
5559.79999999702,,directmemory_phase2,833915,,,,object_01c.png,,,51,,,,1,,object_15b.png,object_02c.png,object_01b.png,object_01b.png,,0.6521739130434783,1
7575.60000000149,,directmemory_phase2,841496,,,,object_02a.png,,,49,,,,0,,object_01c.png,object_13b.png,object_13a.png,object_13b.png,,0.625,0
4659.80000000447,,directmemory_phase2,846163,,,,object_08a.png,,,50,,,,1,,object_14a.png,object_07c.png,object_10a.png,object_07c.png,,0.64,1
6527.5,,directmemory_phase2,852707,,,,object_14a.png,,,49,,,,0,,object_10a.png,object_02a.png,object_11b.png,object_11b.png,,0.6153846153846154,0
9237.39999999851,,directmemory_phase2,861961,,,,object_11c.png,,,51,,,,1,,object_01b.png,object_09c.png,object_04a.png,object_04a.png,,0.6296296296296297,1
2530.60000000149,,directmemory_phase2,864506,,,,object_06a.png,,,50,,,,1,,object_02a.png,object_04b.png,object_10a.png,object_04b.png,,0.6428571428571429,1
3473,,directmemory_phase2,867995,,,,object_03a.png,,,49,,,,1,,object_13c.png,object_04b.png,object_02c.png,object_13c.png,,0.6551724137931034,1
1511.5,,directmemory_phase2,869523,,,,object_02c.png,,,50,,,,1,,object_11c.png,object_08b.png,object_15c.png,object_08b.png,,0.6666666666666666,1
null,,thebreak,869633,,,,<p></p>,,,null,,,,,,,,,,,,
6049.9000000059605,,intro_0,875690,,,,instruct,,,32,,,,,,,,,,,,
null,,learn_phase(without_color)3,879200,,,,black_plus_sign,,,null,,object_04b.png,object_06a.png,,,,,,,,,
null,,black_cross(without_color)3,879654,,,,blue,,,null,,object_04b.png,object_06a.png,,,,,,,,,
null,,rt_plussign_withcolor3,880160,,,,blue,,,null,,object_04b.png,object_06a.png,,,,,,,,,
767.1000000014901,,rt_thecrossant_black3,881727,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black3,881835,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,885342,,,,black_plus_sign,,,null,,object_15b.png,object_04c.png,,,,,,,,,
